#,Study,Year,ManSci,MarkSci,Preregs,AsPred.,OSF,EGAP
1,Amengual and Apfelbaum (2021),2021,1,,1,,1,
2,Becker et al. (2021),2021,1,,1,,1,
3,Burbano (2021),2021,1,,1,,1,
4,Chang et al. (2020),2020,1,,6,6,,
5,Enke et al. (2021),2021,1,,1,,,1
6,von Essen et al. (2020),2020,1,,1,,1,
7,Gaertig and Simmons (2021),2021,1,,9,9,,
8,Goswami et al. (2020),2020,,1,1,1,,
9,Ho et al. (2021),2021,1,,1,1,,
10,Hsee et al. (2021),2021,1,,5,5,,
11,Ibrahim et al. (2021),2021,1,,3,3,,
12,Kim et al. (2020),2020,1,,4,4,,
13,Leib et al. (2021),2021,1,,1,,1,
14,Minson et al. (2020),2020,1,,3,3,,
15,Mislavsky and Gaertig (2021),2021,1,,12,12,,
16,Mislavsky and Simonsohn (2018),2018,1,,5,,5,
17,Mislavsky et al. (2020),2020,,1,7,,7,
18,Moon and Nelson (2020),2020,1,,6,5,1,
19,Munz et al. (2020),2020,,1,1,1,,
20,Pennycook et al. (2020),2020,1,,4,4,,
21,Quispe-Torreblanca et al. (2019),2019,1,,1,1,,
22,Soll et al. (2020),2020,1,,1,,1,
